blockSize,blockCount,numThreads,cached,run,MBspeed,Bspeed,seconds
32768,65536,32,0,1,239.83,251482778.98,8.54
32768,65536,32,0,2,261.92,274643913.15,7.82
32768,65536,32,0,3,299.31,313850947.99,6.84
32768,65536,32,0,4,238.46,250041494.66,8.59
65536,32768,32,0,0,295.24,309578067.34,6.94
65536,32768,32,0,1,278.91,292456204.53,7.34
65536,32768,32,0,2,251.42,263635025.23,8.15
65536,32768,32,0,3,249.65,261776324.64,8.20
65536,32768,32,0,4,290.61,304725050.50,7.05
131072,16384,32,0,0,278.16,291667422.39,7.36
131072,16384,32,0,1,251.61,263835318.34,8.14
131072,16384,32,0,2,259.79,272408160.52,7.88
131072,16384,32,0,3,259.04,271626496.01,7.91
131072,16384,32,0,4,285.76,299636287.94,7.17
262144,8192,32,0,0,319.04,334536476.29,6.42
262144,8192,32,0,1,260.17,272810828.75,7.87
262144,8192,32,0,2,252.97,265254685.83,8.10
262144,8192,32,0,3,250.58,262751356.13,8.17
262144,8192,32,0,4,290.34,304442345.07,7.05
